postContent,themes
"Congratulations to head of Wells Fargo Auto, Tanya Sanders, for being recognized on the Diversity Woman Media's Elite 100 list, which honors Black women who are disrupting the status quo in executive leadership roles across corporate America and beyond. Tanya is a trained engineer and thought leader with more than 20 years of financial services experience, and I'm proud to celebrate all her achievements that have led to this amazing recognition! hashtag#WeAreWellsFargo http://on.wf.com/6047kL5zd",Not Research and Development
"So incredibly excited for what we are building together! We are shaping the future of healthcare!! Stay tuned... #ConeHealthProud #RisantProud #ForOurCommunities #Impact
Cone Health Risant Health

https://lnkd.in/geqUr6bQ",Not Research and Development
"I'm excited to announce that I have accepted a 2024 Summer Software Engineer Intern position within the Elevance Health Technology organization! I would like to thank Patrick Abell, Ashwini Hassija, Vinod Pallat, Ankur Sehgal Director II Technology, and Anil Bhatt SVP Global Chief Information Officer, for this incredible  opportunity. Looking forward to learning as much as I can through this internship! hashtag#ELVTechIntern hashtag#ElevanceHealthSummerIntern2024 hashtag#ElevanceHealth hashtag#ELVTech",Not Research and Development
Great to host our community researchers Karina Coombes and Alex Puruntatameri from Tiwi island this week and get hands on with our project Partner Healthdirect. Translational research in action! Thanks to Sam Georgy and Mathew Simons for all their support!,Not Research and Development
"I'm happy to share that I have been PROMOTED to Senior Director of Enterprise Analytics/ CDO at JobsOhio! A Huge Thanks to all the phenomenal men and women in my life and their support,love, strong belief in me!",Not Research and Development
"It was an absolute pleasure shipping up to Boston to see some of our wonderful customers at their amazing offices. Justine Shopis at Boston Consulting Group (BCG), Benjamin French Cobb (he/him/his) at Fidelity Investments, plus D'Naysia Stonick and Bridget M Reilly over at State Street are all doing really cool things with video.And what a great visit with Gregory Manning, Chris Cooper, Nathan Welch, Michael Arguin, Katelynn Conlon and the rest of our partners at Brightcove. It was a blast getting some in-person time with you all!Of course, my great teammates truly made the cross-country trip excellent! Thank you for going on another northeastern adventure Malini Sen, MBA, Jonathan Joffe, and for making the trip from a few states over Lindsey Royer. You and all of our Socialivers make these trips so much fun.",Not Research and Development
"Nothing business in this post - just personal. Got to play golf with my son, Michael Hearnes, today before he starts his summer internship with Deloitte. So, naturally, I made a hole-in-one because that's what dads do to impress their kids, right?

I love that I'm getting a chance to spend some quality time with family and friends. Don't get me wrong - work is important and fulfilling, but it's not what truly matters. It took me too long to figure that out.",Not Research and Development
Complete chaos. Y14 We break down how sales pros can consistently hit their targets quarter after quarter: https://lnkd.in/gcU8r24X,Not Research and Development
"Oh when the Spurs, from The Dare Skywalk at Tottenham Hotspur Stadium ",Not Research and Development
I'm honored to share that I've recently taken on a new role as SVP / General Manager - Call of Duty at Activision!,Not Research and Development
"I am deeply honored and grateful to have been appointed as our healthcare network's new Chair of Diversity, Equity, Inclusion, and Belonging. Thank you, The Christ Hospital Health Network and Andre Boomer, MBA , for your support and trust in me in leading these critical initiatives.",Not Research and Development
"Cheers to another year of Growth, Resilience, Initiative, and Teamwork! Celebrating successful milestones and record achievements at Whirlpool Corporation's 2024 National Sales Conference. hashtag#GRIT hashtag#FORWARD hashtag#underthesun hashtag#Whirlpool",Not Research and Development
"I'm happy to share that I'm starting a new position as Senior Vice President of Product Strategy at Shaw Systems Associates, LLC!",Not Research and Development
"Shepherd Center CEO Sarah Morrison, PT, MBA, MHA, announced last November that she will retire on September 20, 2024, after 40 years of service, and that Jamie Shepherd, MBA, MHA, will take the helm as CEO. Sarah was recently interviewed about her advice for the next generation of health system executives, and here is part of what she had to say: ""Be transparent and humble "" have an open-door policy, and be willing to admit when you were wrong. Have a clear vision and communicate it often. From there, set expectations and hold your team accountable. Finally, be present "" emotionally and physically. Get out from behind your desk and walk the halls. You'll never regret the time you spent showing up for your team."" Read her full response here: https://bit.ly/41w2ieL",Not Research and Development
"Ask yourself... Are you??? As many of us are heading back into work today and later this week, no matter your role in the organization, you have an opportunity to be a leader!If you see some trash as you're walking in the building, pick it up! If you see an opportunity to improve things, raise your hand and share your ideas. Step up to take on the big assignment, claim it and do it well! You have 366 new pages to write a great story this year, and I know you will blossom into the leader that people choose to follow! You got this!-hashtag#leadershipquotes hashtag#womenwholead hashtag#leadershiptips",Not Research and Development
"Happy hashtag#iwd2024!! Amazing event with wonderful speakers, panelists, colleagues and male allies.Congratulations PSEG WLA (Women's Leadership Alliance) for organizing a wonderful event! YY12hashtag#psegproud",Not Research and Development
"""Glenda McNeal has an exceptionally strong track record of spearheading critical partner agreements and navigating the complexity of large, global relationships to benefit both the company and our partners and she will continue to do so in this expanded role,"" said Steve Squeri, Chairman and CEO of American Express. hashtag#savoy hashtag#americanexpress",Not Research and Development
Learn more about Logitechs Q4 and full Fiscal Year 2024 results in our shareholder letter. https://lnkd.in/gfMUJTfu,Not Research and Development
"I am thrilled to share that yesterday at the NCSL higher education task force summit in Washington D.C., Secretary of Education Miguel Cardona gave a shout out to Idaho and highlighted the impressive collaboration between Micron and the College of Western Idaho. This partnership is crucial in training the workforce that will drive Micron's new $15 billion fabrication facility in Boise. It was a privilege to join Idaho Representative Wendy Horman at the summit and to have the opportunity to hear insights from Secretary Cardona. @wendyhorman Micron Technology",Not Research and Development
"I am delighted to announce my next adventure!  After an incredible 5 year journey building out the Experience Design team for JP Morgan's Corporate & Investment Bank's Payments and Operations divisions, I am joining an absolutely stellar cast and crew at Chase Travel that is destined to change how you dream about, plan and experience your next trip!",Not Research and Development
"I'm excited to announce that I have accepted a 2024 Summer Software Engineer Intern position within the Elevance Health Technology organization! I would like to thank Nivethitha Murugeson, Neelima Annam, Dominic Cussatt, Ankur Sehgal,  and Anil Bhatt for this incredible  opportunity. Looking forward to a summer of growth, knowledge, and experience through this internship!hashtag#ELVTechIntern hashtag#ElevanceHealthSummerIntern2024 hashtag#ElevanceHealth hashtag#ELVTech",Not Research and Development
"Longest winning streak for any professional sport. Ever. Did you know he was forbidden to play squash as a child?6 times World champion, 10x British Open winner, Jahangir Khan is the greatest of all time. 555 matches "" no losses.Last night, I had the honor to meet the champion. I was amazed by his story of overcoming adversity through sheer passion, disciplined execution, and belief in purpose.He was born with medical conditions that held him back, but he never gave up. Training relentlessly for 8+ hours straight every day, with a single-minded focus on performance and perfection, Jahangir was destined to make history. His journey from being forbidden to play squash as a child to becoming the undefeated champion speaks volumes about resilience.His legacy extends beyond the squash court, and it's a testament to the power of perseverance and unwavering commitment. An incredibly inspiring story.hashtag#squash hashtag#goat hashtag#JahangirKhan",Not Research and Development
Exceptional leader with extensive health operations experience. Margaret Downs should be top of any healthcare organizations list to hire.,Not Research and Development
"Calling all architects!  If you know me, you know how I roll!  Lots of opportunities to make a real difference here at Ulta Beauty!",Not Research and Development
"It's Customer Service Appreciation Week! In celebration, we're putting the spotlight on our amazing Customer Service team. We asked each of them what they love most about interacting with our customers. See below to read their answers!",Not Research and Development
"Yesterday we reported our first-quarter 2024 results and raised our revenue and earnings expectations for the full year. 

- We achieved record Q1 revenue and record Q1 cash flow. 
- Our non-GAAP earnings per share grew 27% to $2.81.
- Our revenue grew 10% to $2.4 billion and our ending backlog grew to a record $14.4 billion. 
- S&P and Fitch upgraded our credit rating to BBB, reflecting the strength of our business and balance sheet. 

These strong results reflect the need-to-have nature of our technologies and were very well-positioned for continued growth. I'm proud to be a part of this team, tirelessly committed to solving for safer communities, safer schools and safer businesses in all that we do every day.",Not Research and Development
"The impact of my time at Truist has transformed my life in numerous and positive ways, both on a personal and professional level. The memories I have at Truist are filled with immense happiness and I was fortunate to work with some who I will forever respect and am honored to call them friends. It has been an absolute joy to collaborate with such skilled and committed teammates, and I am deeply grateful for the growth, obstacles overcome, and accomplishments achieved during my tenure.As the new year arrived, I am looking ahead to the next chapter in my career and am thrilled to announce I have joined JPMorgan Chase & Co. as Chase's Head of Payments Technology. The ability to join a winning organization with such amazing leaders, employees and technologists brings tremendous respect and honor. I look forward to my future with JPMorgan Chase, the best is yet to come!",Not Research and Development
"We're extremely proud to share that Eric Appel is the hashtag#GTMAwards Startup CRO of the Year. Yi Yi Yi Cheers to you, Eric! We're beyond grateful for your hashtag#leadership and vision at Island.Thank you to Pavilion and G2 for this recognition, and a special thank you to our team, customers, partners, colleagues, and friends who voted.",Not Research and Development
"Now for an unexpected surprise, this is a very nice one.... happy, honored, and humbled to have been selected as a Senior Member of the National Academy of Inventors. (although, comes to mind, the term ""senior"" may be both flattering and perhaps not so much...)https://lnkd.in/ePZY5R7z",Not Research and Development
"After a whirlwind tour of Krispy Kreme UK & IRE, Krispy Kreme Australia & New Zealand, Krispy Kreme Mexico, and Krispy Kreme US, I can safely say that I have the sweetest job in the world YY. Just 34 more countries (and counting) in which to meet our amazing team members and sample the most joyful treats!",Not Research and Development
"Wrapped up an amazing event for Sunbelt Rentals, Inc., our team is delighted to have been part of such an incredible project! Amazing work to all those involved, we are proud to have such an incredible team!
 
#ImpactXM #greenteam #SunbeltRentals #POWERHOUSE24 #WINTHEDAY #ANYTOWN #WelcomeToAnytown #GeneralSession #IXMCulture",Not Research and Development
"We wrapped up our banking conversion with the release of our awesome new national brand. 

Welcome to Flagstar. Were so glad to have you with us!",Not Research and Development
"I'm excited to exhibit at  HIMSS24 in Orlando on March 11-15 to connect with friends and colleagues, old and new. Join me and be sure to stop by the Augmedix booth #4370! HIMSS Global Health Conference & Exhibition",Not Research and Development
"This month, 30 PG&E coworkers from Electric Operations graduated from our inaugural ""Leading at PG&E"" program, a 10-day training intensive focused on growing leadership skills. I had the honor to close the graduation with some words of advice: ""Continue your learning journey, acquire new experiences and protect your character because they will define your legacy as a leader"".Leaders design the culture of the organization by modeling the right behaviors of civility, trust and respect.Congrats, lead graduates! I can't wait to see what you do next at PG&E and life. hashtag#leadershipdevelopment",Not Research and Development
"Last week I reviewed more than 100 resumes for an opening we are working to fill. Here are some thoughts:1. Candidates have about one minute to make an impression with their resumes. Resumes should be clean, not cluttered.2. Tell me a story - your story! It's hard to tell a story with just bullet points. Give a short but sharp narrative - stay away from jargon.3. If you make a positive impression, know that I'm going straight to your LinkedIn profile. How are you presenting yourself on LinkedIn? Are you active? What are other people saying about you?",Not Research and Development
"Neela Montgomery Appointed as New CEO of Orveon Global""Neela is a highly accomplished leader in high-growth, vibrant consumer businesses and we are thrilled to welcome her as CEO of Orveon."" - Tricia Glynn, Chair of the Board at Orveon and Managing Partner at Advent International""I see immense opportunity to continue developing the platform's capabilities while nurturing the success of bareMinerals, BUXOM, and Laura Mercier."" - Neela Montgomery, Incoming CEO at Orveon Globalhashtag#leadership hashtag#beauty hashtag#SoRNewsRead our take and check out the key highlights Y",Not Research and Development
Great night celebrating the 40 under Forty within Boulder and Northern Colorado! Congratulations to all the honorees! #BW40UnderForty,Not Research and Development
To the distinguished D9  community - keep loving on your neos. We need them and they need us. #service #sisterhood.,Not Research and Development
#acrm2023 went so fast! An amazing week of educational content and networking and seeing old friends! Looking forward to #ACRM2024!,Not Research and Development
