profileUrl,First Name,timestamp,postUrl,imgUrl,type,postContent,Themes,Subthemes,Content Format,Created/Cultivated/Curated,First Name (from First Name),Last Name (from First Name),Company (from First Name),Industry (from First Name),Title (from First Name),likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,Date of Post,Weekday,Day of the Week,Time of Post,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,3/23-4/23?,Thought Leadership?,Total Engagements,Post vs Engagements,Hour of Post,Month of Post,4/23-5/23
https://www.linkedin.com/in/shachella-james-pmp-69b8a1b/,https://www.linkedin.com/in/shachella-james-pmp-69b8a1b/,2024-04-24 17:38,https://www.linkedin.com/feed/update/urn:li:activity:7177280667221733376,https://media.licdn.com/dms/image/D4E22AQGcHXV9nmRLww/feedshare-shrink_800/0/1711121930649?e=1717027200&v=beta&t=1z1dVxInU04NKnMcBuX3YoEhUTHHEtEOFJ8PTNaz3Xc,Image,"What is one thing that is top of mind for a CISO??  Cyber Insurance!  We had a terrific Cyber Insurance Panel hosted by ChampionX in their beautiful offices in The Woodlands.  Thank you to Erica Connor,  CISM for moderating and to our panelist Meghan O'Malley, Will Daugherty, and Greg Vernaci.  It was a relevant conversation that included incident awareness, concerns on Gen AI, claims (and effects of multiple claims), and much, much more.  Everyone walked away with something to heighten the safety of their organization. Sherry Hunyadi Craig Wood John Lewis Mark Alvarado Al LindsethThank you to our underwriters for you continued support. Meg Toups, BlueSky IT Partners; Will Thompson, Google; and Bryan M., Fortinet","AI/Machine Learning,Digital Transformation","events/podiums/conferences,Responsible AI,genAi",Personal/Public Pictures,,Shachella,James,CenterPoint Energy,Utilities,Vice President Infrastructure and Technology Services at CenterPoint Energy,30,7,2,1mo,,,,"Shachella James, PMP likes this",Likes,,2024-03-23 12:30,3/23/2024,Saturday,Saturday,12:30 PM,,,,,,,,,checked,,39,Engagement,12pm-1pm,March 2024,
https://www.linkedin.com/in/jmingori/,https://www.linkedin.com/in/jmingori/,2024-04-24 16:22,https://www.linkedin.com/feed/update/urn:li:activity:7177317588782252032,https://media.licdn.com/dms/image/D5610AQGfkIwh7mLWVA/image-shrink_800/0/1711195209363?e=1714582800&v=beta&t=_5K4NqmC4HT0hVZWwzRPYIJW_jsK0y40Gy-W9kYgH08,Image,"How companies navigate the technology world to achieve sustainable competitive advantage is the defining business challenge in the age of digital and AI. McKinsey research shows that while 90% of companies have launched some flavor of digital transformation, only a third of the expected revenue benefits, on average, have been realized. Learn how six signature moves, led by the C-suite, can help companies to integrate new technologies, such as gen AI, and harness them to create value https://mck.co/3TROf0Y #NeverJustTech","Digital Transformation,AI/Machine Learning,Leadership",,"company branded asset,infographic",,Joseph,Mingori,Logitech,Consumer & Industrial Products,"VP & GM, Mobile Solutions BU ",1801,41,164,1mo,,,,Joseph Mingori reposted this,Repost,,2024-03-23 14:57,3/23/2024,Saturday,Saturday,2:57 PM,,,,,,,,,checked,,2006,Engagement,2pm-3pm,March 2024,
https://www.linkedin.com/in/senuta/,https://www.linkedin.com/in/senuta/,2024-04-24 15:35,https://www.linkedin.com/feed/update/urn:li:activity:7177249060318261249,https://media.licdn.com/dms/image/sync/D5627AQE36chVHKvrbQ/articleshare-shrink_800/0/1710767010062?e=1714579200&v=beta&t=VKV_nqsIPT7WqIPJXmT8FUkwX2p2sN8qBPNv68VB4Z8,Article,"Orum.io Achieves Direct Connection to Federal Reserve, Paving the Way for Faster and More Cost-Effective PaymentsSign up for our free email newsletter at https://lnkd.in/gB-n3Mk#fintech #financialservices #payments https://lnkd.in/ghphEpmq",Digital Transformation,,article/blog/company website/press release,,Michael,Senuta,Truist,Banking,Head of Innovation and Partnerships at Truist,50,3,2,1mo,,,https://thefinancialtechnologyreport.com/orum-achieves-direct-connection-to-federal-reserve-paving-the-way-for-faster-and-more-cost-effective-payments/,Michael Senuta likes this,Likes,,2024-03-23 10:25,3/23/2024,Saturday,Saturday,10:25 AM,,,,,,,,,checked,,55,Engagement,10am-11am,March 2024,
https://www.linkedin.com/in/asha-devasia-abab127/,https://www.linkedin.com/in/asha-devasia-abab127/,2024-04-24 16:37,https://www.linkedin.com/feed/update/urn:li:activity:7177809555181985792,https://media.licdn.com/dms/image/D4D05AQG7UIMYznJiWg/videocover-low/0/1711050157249?e=1714582800&v=beta&t=5CMxppBNkSrNpjGdkWyB0Vr-5WCAS-pLmJfz89uBvns,Video (LinkedIn Source),"As we stand on the brink of a crucial energy transformation, the spotlight turns to our electricity grids - the backbone of this transition. The question remains: Does your business have the right strategy to be future-ready with sustainability?I am honored to lead the discussion on 'Overcoming the Grid-˜lock': Accelerating Energy Transition with Future-Ready Grids'. Join me as we delve deep into how smart, digitalized grids can bridge the gap between today's challenges and tomorrow's energy solutions. We'll explore cutting-edge solutions that pave the way for a more resilient, efficient, and flexible grid, bolstering connections between all energy system actors.Join us virtually at Innovation Summit Paris 2024 on April 3, 2:30 PM CET to get energized, network in the chat, and get the latest updates on the technologies shaping the future: https://lnkd.in/d9TD7a9j#EnergyTransition #ImpactStartsWithUs #LifeIsOn","Innovation,Digital Transformation",,"video,webinar/webcast/event",,Asha,Devasia,Schneider Electric,Consumer & Industrial Products,SVP Strategy & Innovation at Schneider Electric,186,0,5,1mo,,,,Asha Devasia likes this,Likes,,2024-03-24 23:32,3/24/2024,Sunday,Sunday,11:32 PM,blob:https://www.linkedin.com/5b489c27-2973-4e25-9e73-0c51bfc49637,,,,,,,,checked,,191,Engagement,11pm-12am,March 2024,
https://www.linkedin.com/in/franciscotrejogt/,https://www.linkedin.com/in/franciscotrejogt/,2024-04-24 16:01,https://www.linkedin.com/feed/update/urn:li:activity:7177748100256583680,https://media.licdn.com/dms/image/D4E22AQGi7TYT_p-org/feedshare-shrink_800/0/1711137102123?e=1717027200&v=beta&t=EMmXvtNbGFYDwklzC5X3zMATpdCYoSZ7maPRNIThgnM,Image,"What a week joining NVIDIA at #GTC2024! I enjoyed speaking with Azita Martin on the very first session of opening day at GTC, where we discussed how Lowe's Companies, Inc. continues to enhance the omnichannel experience for customers and associates. Our collaboration with NVIDIA “ from computer vision to store digital twins “ continues to help us transform our business and help solve problems, and we are so appreciative of the impactful work our collective technology teams have created. Watching Jensen Huang's Keynote was an incredible experience! We are so proud to see Lowe's featured among organizations who are thoughtfully leveraging AI to advance their business. #LowesTech","Digital Transformation,AI/Machine Learning,Customer Centricity",,Personal/Public Pictures,,Franscisco,Trejo,Caterpillar,Consumer & Industrial Products,"Head of Global eCommerce, CAT Digital at Caterpillar Inc.",558,7,6,1mo,,,,Francisco Trejo likes this,Likes,,2024-03-24 19:28,3/24/2024,Sunday,Sunday,7:28 PM,,,,,,,,,checked,,571,Engagement,7pm-8pm,March 2024,
https://www.linkedin.com/in/markmccarthynyc/,https://www.linkedin.com/in/markmccarthynyc/,2024-04-24 17:54,https://www.linkedin.com/feed/update/urn:li:activity:7178048254486446080,,Text,"I'm thrilled to share some exciting news from Aptitude Software! For full details, read the press release here: https://bit.ly/43wIRDqOur Finance Data Management Platform, Fynapse, is expanding its capabilities to offer AI-driven Autonomous Finance, a move that is further strengthened by our integration with Microsoft Dynamics 365 Finance. This strategic alliance, supported by Microsoft's AI expertise, is set to enhance CFOs' productivity and enable the finance function to be the strategic asset for the business. I want to say thank you to our Microsoft partners, including Georg Glantschnig, Anat Katz-Arotchas, Gurkan Salk, April Olson, Malli Vangala, Jacqueline To, Steven Mullaghan, James Chadwick and Nicolas Caudron Coudron for their invaluable support and collaboration. Embracing Autonomous Finance allows finance professionals to concentrate on strategic goals and invite CFOs worldwide to join us on this path toward Autonomous Finance. Please reach out to Aptitude Software and Microsoft to learn more.https://lnkd.in/dZGWtS2A","Digital Transformation,Product Development,AI/Machine Learning",,article/blog/company website/press release,,Mark,McCarthy,KKR,Private Equity,"Operating Executive, Principal",119,3,6,1mo,,,,Mark McCarthy likes this,Likes,,2024-03-25 15:21,3/25/2024,Monday,Monday,3:21 PM,,,,,,,,,checked,,128,Engagement,3pm-4pm,March 2024,
https://www.linkedin.com/in/ben-rottinghaus/,https://www.linkedin.com/in/ben-rottinghaus/,2024-04-24 14:53,https://www.linkedin.com/feed/update/urn:li:activity:7177999104709419009,,Article,"ABSOLUTELY STOKED to announce that our bank is leaning so strongly into the future of mortgage technology, by partnering with Intercontinental Exchange (ICE). This move will revolutionize our origination and servicing capabilities, offering borrowers unparalleled control, choice, and transparency throughout their homebuying journey. By integrating ICE's cutting-edge platforms and data solutions, we're not just improving processes and technical architecture; we're crafting an end-to-end experience that puts our customers first. #mortgage #mortgagetechnology #ICE #customerexperiencehttps://lnkd.in/eqwYEeu7","Data and Analytics,Digital Transformation",,article/blog/company website/press release,,Ben,Rottinghouse,FifthThird,Banking,"SVP, Senior Director of Data Management & Engineering",95,0,0,1mo,,,https://ir.theice.com/press/news-details/2024/Fifth-Third-Bank-Moving-to-ICEs-End-to-End-Mortgage-Ecosystem-to-Improve-Customer-Experience/default.aspx,Ben Rottinghaus celebrates this,Reaction,,2024-03-25 12:05,3/25/2024,Monday,Monday,12:05 PM,,,,,,,,,checked,,95,Engagement,12pm-1pm,March 2024,
https://www.linkedin.com/in/kirk-kroft-916b94/,https://www.linkedin.com/in/kirk-kroft-916b94/,2024-04-24 16:32,https://www.linkedin.com/feed/update/urn:li:activity:7178132275308482561,https://media.licdn.com/dms/image/D5605AQG8mDMhhJbVmg/videocover-low/0/1711036407770?e=1714582800&v=beta&t=1RSIMzOAkpfNHtBgKV-bw9uldGB_EuiC_mCOfLBPotI,Video (LinkedIn Source)," First PTC & Purdue hosted Smart Manufacturing Executive Exchange: A Recap of Our Landmark Event Last week marked a milestone with the inaugural Smart Manufacturing Executive Exchange, co-hosted by PTC and Purdue University's School of Engineering and Technology. This one-day symposium was a melting pot of industry giants, scholarly minds, and innovators, united by their passion for reshaping manufacturing through digital transformation.Key Highlights:“ˆ Practical Insights: Attendees were privy to transformative customer stories demonstrating the power of PTC's technology in forging a seamless, model-based digital thread.’¡ Innovative Sessions: Our journey through CAD, PLM, IoT, AR, AI, and beyond, unveiled the endless possibilities of how manufacturing is being transformed.  Exclusive Tour: A behind-the-scenes look at Purdue's Smart Manufacturing Labs revealed the fusion of cyber and physical systems, data analytics, and automation, propelling smart manufacturing to new heights.The feedback was unequivocal - the synergy between PTC's cutting-edge solutions and Purdue's Smart Manufacturing Informatics program is crafting the blueprint for the workforce of tomorrow. ¯  A Formula for Success: State-of-the-Art Education + State-of-the-Art Technology = Accelerated Digital Transformation.™ Our heartfelt thanks go to all participants, speakers, and organizers for their invaluable contributions. Together, we're not just anticipating the future of smart manufacturing; we're creating it.Check out this fun video recap of the event by Ernesto Duterte “½ and stay tuned for more updates as we continue to foster this dynamic partnership with Purdue and our customers, driving innovation and adding value to the smart manufacturing landscape. Special thanks to the following PTC people who supporting this event and thrived to create an engaging event for our attendees: Lindsay Moriarty, Jenna Smith, Christine (McGinnis) Bahmer, Sebastian Bergner, Philip Bard, Phoebe Eljashev, Paul Dye, Duane Huffman, Chad Powers, Adam Bookser, John Ristey, Matthew DiCecca #SmartManufacturing #DigitalTransformation #PTC #PurdueUniversity #Innovation #Technology #ManufacturingExcellence","Digital Transformation,Innovation,Data and Analytics",events/podiums/conferences,video,,Kirk,Kroft,Polaris,Consumer & Industrial Products,"VP, Digital Products",41,0,0,1mo,,,https://www.linkedin.com/feed/update/urn:li:activity:7176606855664660481/,Kirk Kroft likes this,Likes,,2024-03-25 20:54,3/25/2024,Monday,Monday,8:54 PM,,,,,,,,,checked,,41,Engagement,8pm-9pm,March 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7178874757738557440,https://media.licdn.com/dms/image/D5605AQGssbo5cXaauA/feedshare-thumbnail_720_1280/0/1711549950844?e=1714582800&v=beta&t=Sef_wwXTTq-xNeVzTRsFBkeR4arNlT0JuF2Itj6fkq0,Video (LinkedIn Source),” IT'S HERE!!!!!!Today the Vizit team and Salsify team are thrilled to announce the availability of a first-of-its-kind Conversion Optimizer for your PDPs in Salsify!This is #AI and automation at its finest.The Vizit app works like an AI merchant and instantly rearranges your product page imagery to maximize conversion potential with online shoppers.It's so easy to use.Just install Vizit and our AI does the rest.You can rest easy knowing you are maximizing impact with consumers while you sleep.Want early bird access? Drop us a note. And also be sure to read up on Salsify's new PXM Advance Platform - It has a whole host of powerful new features that the most sophisticated digital teams are using to sell more stuff and outperform competitors.#ecommerce #pim #pxm #digitalcommerce #retail #digitalshelf #contenteffectiveness #digitalmerchandising #visualcontent,"Product Development,Digital Transformation,AI/Machine Learning",,video,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",279,38,11,1mo,"This is the way to go, congratulations Jehan Hamedi and Jason Purcell teams.","https://www.linkedin.com/feed/update/urn:li:ugcPost:7178760786322841600/?commentUrn=urn:li:comment:(ugcPost:7178760786322841600,7178779231819104258)&dashcommentUrn=(7178760786322841600,urn:li:ugcPost:7178760786322841600)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7178760786322841600,Murat Genc liked Jehan Hamediâ€™s comment on this,Liked a comment,,2024-03-27 14:32,3/27/2024,Wednesday,Wednesday,2:32 PM,,,,,,,,,checked,,328,Engagement,2pm-3pm,March 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:47,https://www.linkedin.com/feed/update/urn:li:activity:7178779255487565824,https://media.licdn.com/dms/image/D5605AQGssbo5cXaauA/feedshare-thumbnail_720_1280/0/1711549950844?e=1714582800&v=beta&t=Sef_wwXTTq-xNeVzTRsFBkeR4arNlT0JuF2Itj6fkq0,Video (LinkedIn Source),” IT'S HERE!!!!!!Today the Vizit team and Salsify team are thrilled to announce the availability of a first-of-its-kind Conversion Optimizer for your PDPs in Salsify!This is #AI and automation at its finest.The Vizit app works like an AI merchant and instantly rearranges your product page imagery to maximize conversion potential with online shoppers.It's so easy to use.Just install Vizit and our AI does the rest.You can rest easy knowing you are maximizing impact with consumers while you sleep.Want early bird access? Drop us a note. And also be sure to read up on Salsify's new PXM Advance Platform - It has a whole host of powerful new features that the most sophisticated digital teams are using to sell more stuff and outperform competitors.#ecommerce #pim #pxm #digitalcommerce #retail #digitalshelf #contenteffectiveness #digitalmerchandising #visualcontent,"Product Development,Digital Transformation,AI/Machine Learning",,video,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",279,38,11,1mo,"This is the way to go, congratulations Jehan Hamedi and Jason Purcell teams.","https://www.linkedin.com/feed/update/urn:li:ugcPost:7178760786322841600/?commentUrn=urn:li:comment:(ugcPost:7178760786322841600,7178779231819104258)&dashcommentUrn=(7178760786322841600,urn:li:ugcPost:7178760786322841600)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7178760786322841600,Murat Genc commented on this,Comments,,2024-03-27 14:32,3/27/2024,Wednesday,Wednesday,2:32 PM,blob:https://www.linkedin.com/89123379-c03e-4b19-a034-0fe5ca399580,,,,,,,,checked,,328,Engagement,2pm-3pm,March 2024,
