profileUrl,First Name,timestamp,postUrl,imgUrl,type,postContent,Themes,Subthemes,Content Format,Created/Cultivated/Curated,First Name (from First Name),Last Name (from First Name),Company (from First Name),Industry (from First Name),Title (from First Name),likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,Date of Post,Weekday,Day of the Week,Time of Post,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,3/23-4/23?,Thought Leadership?,Total Engagements,Post vs Engagements,Hour of Post,Month of Post,4/23-5/23
https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,2024-04-24 15:20,https://www.linkedin.com/feed/update/urn:li:activity:7177111727648452608,https://media.licdn.com/dms/image/D4E22AQGFCyYepcxiAw/feedshare-shrink_800/0/1711143017499?e=1717027200&v=beta&t=xXPsww86C_q4qxxk25Tv5xGjkdlLNEJJpi6V3EKyhcs,Image,"HIGH TECH EXCELLENCE & EV INNOVATION:Such meaningful conversations at the Women's Tech Leadership Symposium hosted by Metro New York Chapter National Black MBA Association.The notion of working in financial technology at a bank like Morgan Stanley Wealth Management might not have been one you've considered, that's why I'm so proud of our partnership with the National Black MBA Association; we want more technologists to innovate with us.Our Morgan Stanley Technologists:* We leverage big data, AI and machine learning to better serve our clients and to make our business more efficient * We partner with 100 other organizations to explore the potential of emerging technologies, such as blockchain, quantum computing and augmented/virtual realityI #LoVe seeing Ashley Siegel outstandingly represent our tech organization and engage with the crowd, along with distinguished presenters Vina Morris, PMP, ITIL V3 Expert, MBA,Tasia McLeod,MS,CSM,CSPO,Peju Onile-Ere, Elyse S. Nkem Omokpo, Lydia Barron So Awesome to connect with award winning Tech Leaders such as O'kneeka Roberts and network with NBMBAA Leadership Kenneth D. Holley, MS, CSM, PMP and Norville Barrington.Thank you Jamoul Celey for the invite, to Daryl Tillman, MBA photo creds and to Rivian for the awesome EV Whips”Electric Vehicle #KeysToTheMansionKeysToTheTruck Metro New York Chapter National Black MBA Association Embracing the future !#LoVeIt was great to support with my colleague Shueanna Harrinandan, MBA #WomenInTech #NationalBlackMBA #NYC #NYBlackMBA #MSCareershttps://lnkd.in/eEPJE3nS","Innovation,AI/Machine Learning",Leadership,Personal/Public Pictures,,Jeff,McMillan,Morgan Stanley,Banking,Head of AI,73,7,1,1mo,,,,Jeff McMillan likes this,Likes,,2024-03-23 01:19,3/23/2024,Saturday,Saturday,1:19 AM,,,,,,,,,checked,,81,Engagement,1am-2am,March 2024,
https://www.linkedin.com/in/katyaandresen/,https://www.linkedin.com/in/katyaandresen/,2024-04-24 17:04,https://www.linkedin.com/feed/update/urn:li:activity:7177660050948161536,https://media.licdn.com/dms/image/sync/D4D27AQFY96elNjMRnQ/articleshare-shrink_800/0/1712258305974?e=1714586400&v=beta&t=36KYcR2plyKgPEbGgEWPyxvN4af81Phue_M5HeFnA9U,Article,"Thank you Bertha Coombs for leading our conversation on CNBC following The Cigna Group 2024 Investor Day last week. Driven by our health benefits and services platforms, we're proud of how we continue to build on our long track record of helping individuals, employers and communities live with health and vitality. We're taking on the greatest challenges in health care, including supporting those we serve with forces of change such as the pharmacological innovation defining the next era of health care through new first of their kind innovations like those announced last week. While we're proud of what we've accomplished, we look forward to continuing our work to improve access, affordability and clinical outcomes for the prescriptions and care people need.",Innovation,,news article,,Katya,Aandresen,Cigna,Healthcare Payers,Chief Digital & Analytics Officer,394,0,8,1mo,,,https://www.cnbc.com/video/2024/03/07/cigna-ceo-on-medicare-advantage-and-glp-1-access-program.html,Katya Andresen likes this,Likes,,2024-03-24 13:38,3/24/2024,Sunday,Sunday,1:38 PM,,,,,,,,,checked,,402,Engagement,1pm-2pm,March 2024,
https://www.linkedin.com/in/asha-devasia-abab127/,https://www.linkedin.com/in/asha-devasia-abab127/,2024-04-24 16:37,https://www.linkedin.com/feed/update/urn:li:activity:7177809555181985792,https://media.licdn.com/dms/image/D4D05AQG7UIMYznJiWg/videocover-low/0/1711050157249?e=1714582800&v=beta&t=5CMxppBNkSrNpjGdkWyB0Vr-5WCAS-pLmJfz89uBvns,Video (LinkedIn Source),"As we stand on the brink of a crucial energy transformation, the spotlight turns to our electricity grids - the backbone of this transition. The question remains: Does your business have the right strategy to be future-ready with sustainability?I am honored to lead the discussion on 'Overcoming the Grid-˜lock': Accelerating Energy Transition with Future-Ready Grids'. Join me as we delve deep into how smart, digitalized grids can bridge the gap between today's challenges and tomorrow's energy solutions. We'll explore cutting-edge solutions that pave the way for a more resilient, efficient, and flexible grid, bolstering connections between all energy system actors.Join us virtually at Innovation Summit Paris 2024 on April 3, 2:30 PM CET to get energized, network in the chat, and get the latest updates on the technologies shaping the future: https://lnkd.in/d9TD7a9j#EnergyTransition #ImpactStartsWithUs #LifeIsOn","Innovation,Digital Transformation",,"video,webinar/webcast/event",,Asha,Devasia,Schneider Electric,Consumer & Industrial Products,SVP Strategy & Innovation at Schneider Electric,186,0,5,1mo,,,,Asha Devasia likes this,Likes,,2024-03-24 23:32,3/24/2024,Sunday,Sunday,11:32 PM,blob:https://www.linkedin.com/5b489c27-2973-4e25-9e73-0c51bfc49637,,,,,,,,checked,,191,Engagement,11pm-12am,March 2024,
https://www.linkedin.com/in/kirk-kroft-916b94/,https://www.linkedin.com/in/kirk-kroft-916b94/,2024-04-24 16:32,https://www.linkedin.com/feed/update/urn:li:activity:7178132275308482561,https://media.licdn.com/dms/image/D5605AQG8mDMhhJbVmg/videocover-low/0/1711036407770?e=1714582800&v=beta&t=1RSIMzOAkpfNHtBgKV-bw9uldGB_EuiC_mCOfLBPotI,Video (LinkedIn Source)," First PTC & Purdue hosted Smart Manufacturing Executive Exchange: A Recap of Our Landmark Event Last week marked a milestone with the inaugural Smart Manufacturing Executive Exchange, co-hosted by PTC and Purdue University's School of Engineering and Technology. This one-day symposium was a melting pot of industry giants, scholarly minds, and innovators, united by their passion for reshaping manufacturing through digital transformation.Key Highlights:“ˆ Practical Insights: Attendees were privy to transformative customer stories demonstrating the power of PTC's technology in forging a seamless, model-based digital thread.’¡ Innovative Sessions: Our journey through CAD, PLM, IoT, AR, AI, and beyond, unveiled the endless possibilities of how manufacturing is being transformed.  Exclusive Tour: A behind-the-scenes look at Purdue's Smart Manufacturing Labs revealed the fusion of cyber and physical systems, data analytics, and automation, propelling smart manufacturing to new heights.The feedback was unequivocal - the synergy between PTC's cutting-edge solutions and Purdue's Smart Manufacturing Informatics program is crafting the blueprint for the workforce of tomorrow. ¯  A Formula for Success: State-of-the-Art Education + State-of-the-Art Technology = Accelerated Digital Transformation.™ Our heartfelt thanks go to all participants, speakers, and organizers for their invaluable contributions. Together, we're not just anticipating the future of smart manufacturing; we're creating it.Check out this fun video recap of the event by Ernesto Duterte “½ and stay tuned for more updates as we continue to foster this dynamic partnership with Purdue and our customers, driving innovation and adding value to the smart manufacturing landscape. Special thanks to the following PTC people who supporting this event and thrived to create an engaging event for our attendees: Lindsay Moriarty, Jenna Smith, Christine (McGinnis) Bahmer, Sebastian Bergner, Philip Bard, Phoebe Eljashev, Paul Dye, Duane Huffman, Chad Powers, Adam Bookser, John Ristey, Matthew DiCecca #SmartManufacturing #DigitalTransformation #PTC #PurdueUniversity #Innovation #Technology #ManufacturingExcellence","Digital Transformation,Innovation,Data and Analytics",events/podiums/conferences,video,,Kirk,Kroft,Polaris,Consumer & Industrial Products,"VP, Digital Products",41,0,0,1mo,,,https://www.linkedin.com/feed/update/urn:li:activity:7176606855664660481/,Kirk Kroft likes this,Likes,,2024-03-25 20:54,3/25/2024,Monday,Monday,8:54 PM,,,,,,,,,checked,,41,Engagement,8pm-9pm,March 2024,
https://www.linkedin.com/in/iajaysoni/,https://www.linkedin.com/in/iajaysoni/,2024-04-24 14:38,https://www.linkedin.com/feed/update/urn:li:activity:7177873441033764864,https://media.licdn.com/dms/image/sync/D4E27AQFULnRF8zADgA/articleshare-shrink_1280_800/0/1711330584216?e=1714575600&v=beta&t=xswV5MO7GXFgpAemcGvbDauxuVXIlWBYUwmHsTDhjks,Article,"Looking on amazon for my new book (PPP3), I noticed something curious. This coming week, the ""Design and Evolution of C++"" (D&E) has been available for 30 years - and it's still in print. Not bad for a technical book. For updates, see my ""History of Programming Languages"" papers.https://lnkd.in/ec94KUW4?crid=L34JYDB5VOJS&dib=eyJ2IjoiMSJ9.MVf7sdSHOjOxFlGowEPcDcjSYuP1FcYJ2rUiOGX6IKsyZBISzanzV6GwljgDRLe1KHqtlY2VDFb9XjS_6oQ3MPociwXUn6Sc9MJ-ubexpMSnkxtpWD2nB-pmYcPdktpNgF-Q6JGFV3DujVJsnDuLnmKCAKea9Wvd9cof9WyhceRQT8CrRmK8NmbSqMP9Mcb5t1ePvBcEujZrPu6HZ7JWuG0S09z0B0A0HMsU9DE7JFu7BJM1TlrWq8GK3fULxkMuBzxy_Wt86oRetB8a10ZOVQYX7d6WZ8-YG69agG0V7nc.R5bSbcbV2LDEGO3TvY_St2Y7TEFIuKnkkvNcpRZfsGY&dib_tag=se&keywords=stroustrup&qid=1711330561&sprefix=%2Caps%2C826&sr=8-6","Innovation,Product Development",,article/blog/company website/press release,,Ajay,Soni,Citi,Banking,SVP of Technology,1207,62,34,1mo,,,https://www.amazon.com/Design-Evolution-C-Bjarne-Stroustrup/dp/0201543303/ref=sr_1_6,Ajay Soni likes this,Likes,,2024-03-25 03:46,3/25/2024,Monday,Monday,3:46 AM,,,,,,,,,checked,,1303,Engagement,3am-4am,March 2024,
https://www.linkedin.com/in/franciscotrejogt/,https://www.linkedin.com/in/franciscotrejogt/,2024-04-24 16:01,https://www.linkedin.com/feed/update/urn:li:activity:7179210718913720323,https://media.licdn.com/dms/image/D4E22AQEQCVmDpUHIgg/feedshare-shrink_800/0/1711650352618?e=1717027200&v=beta&t=c-CPRJN26JeoDnqH_fKjNXSOQFNin2GYIsDDvM_Vmeg,Image,"A team from Georgia Tech has won the ACC InVenture Prize. Jacqui van Zyl, Meg Weaver, and Caitlin van Zyl developed NeuroChamp ” an innovative wearable headband for detecting pediatric seizures. The stylish, noninvasive headband would allow for children to be monitored without wearing bulky headgear. NeuroChamp was awarded $15,000 for first place and plans to use the prize money to fund performance testing for FDA approval ’›",Innovation,,Personal/Public Pictures,,Franscisco,Trejo,Caterpillar,Consumer & Industrial Products,"Head of Global eCommerce, CAT Digital at Caterpillar Inc.",1809,39,35,3w,,,,Francisco Trejo likes this,Likes,,2024-03-28 20:20,3/28/2024,Thursday,Thursday,8:20 PM,,,,,,,,,checked,,1883,Engagement,8pm-9pm,March 2024,
https://www.linkedin.com/in/yar-savchenko-6a973723/,https://www.linkedin.com/in/yar-savchenko-6a973723/,2024-04-24 14:48,https://www.linkedin.com/feed/update/urn:li:activity:7179480856925802496,https://media.licdn.com/dms/image/D5610AQEWM1kA0Ujazw/ads-video-thumbnail_720_1280/0/1711642980382?e=1714575600&v=beta&t=x-nY3DJIX2Tcjx8w5II5qDsT2le7UAU7y1-76HQwDOQ,Video (LinkedIn Source),"Was great to attend this event and visit with our Technology team in our new space in Frisco, TX.  I look forward to continuing to grow our team in Texas and further enabling the technology that underpins Comerica's growth in the years to come.#innovation #technologycareers #friscojobs #dallasjobs #OneComerica",Innovation,,video,,Yar,Savchenko,Comerica Bank,Banking,Senior Vice President of Infrastructure,22,0,0,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7179151099151482883/,Yar Savchenko likes this,Likes,,2024-03-29 14:13,3/29/2024,Friday,Friday,2:13 PM,,,,,,,,,checked,,22,Engagement,2pm-3pm,March 2024,
https://www.linkedin.com/in/gitanjali-joshi-76107595/,https://www.linkedin.com/in/gitanjali-joshi-76107595/,2024-04-24 14:43,https://www.linkedin.com/feed/update/urn:li:activity:7179521834512494593,,Document,"It was exciting to attend this event in-person with the Technology leadership and teams, as we opened doors officially to our colleagues in this brand new innovation hub at Frisco, TX. #stateoftheart. #feelingexcited. #onecomerica",Innovation,Leadership,document,Cultivated,Gitanjali,Joshi,Comerica,Banking,"SVP, Head of Digital Engineering",33,0,0,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7179123319584038913/,Post,Post,,2024-03-29 16:56,3/29/2024,Friday,Friday,4:56 PM,,,,,,,,,checked,,33,Post,4pm-5pm,March 2024,
https://www.linkedin.com/in/franciscotrejogt/,https://www.linkedin.com/in/franciscotrejogt/,2024-04-24 16:01,https://www.linkedin.com/feed/update/urn:li:activity:7179615881906327552,https://media.licdn.com/dms/image/sync/D5627AQHGwyHGqGRkiA/articleshare-shrink_800/0/1711371351273?e=1714582800&v=beta&t=hwiepyXUe-l7lvAb8iNvYNHlZul212H8ZND-CCl6IrQ,Article,"I thoroughly enjoyed speaking with Josiah Mackenzie on the Hospitality Daily Podcast this month to reflect on a lifelong career at Hilton, from starting as a banquet waiter nearly 30 years ago, to my newly expanded role leading our Global Brands and Commercial Services team.  We discussed how Hilton is building industry-leading brands and innovating across product, service, and technology to create differentiated, superior experiences “ none of which would be possible without a strong team and supportive culture. Our incredible Team Members inspire me to stay curious, keeping a cherished piece of advice in mind: Focus on the game, not the scoreboard.  Listen to our conversation on career insights here: https://lnkd.in/gFZ3hegNOr check out our conversation on how Hilton builds strong brands here: https://lnkd.in/gA3XsZFK #HiltonForTheStay",Innovation,,article/blog/company website/press release,,Franscisco,Trejo,Caterpillar,Consumer & Industrial Products,"Head of Global eCommerce, CAT Digital at Caterpillar Inc.",272,6,1,3w,,,https://podcast.hospitalitydaily.com/chris-silcock-career-leadership/,Francisco Trejo likes this,Likes,,2024-03-29 23:10,3/29/2024,Friday,Friday,11:10 PM,,,,,,,,,checked,,279,Engagement,11pm-12am,March 2024,
https://www.linkedin.com/in/gitanjali-joshi-76107595/,https://www.linkedin.com/in/gitanjali-joshi-76107595/,2024-04-24 14:44,https://www.linkedin.com/feed/update/urn:li:activity:7179286900417937408,,Document,"What a fantastic celebration we had to mark the grand opening of our Business and Innovation Hub in #FriscoTX. This will be a tremendous resource for the local community, business owners and Comerica colleagues.","Innovation,Leadership",,document,,Gitanjali,Joshi,Comerica,Banking,"SVP, Head of Digital Engineering",62,2,2,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7179123319584038913/,Gitanjali Joshi celebrates this,Reaction,,2024-03-29 01:23,3/29/2024,Friday,Friday,1:23 AM,,,,,,,,,checked,,66,Engagement,1am-2am,March 2024,
