profileUrl,First Name,timestamp,postUrl,imgUrl,type,postContent,Themes,Subthemes,Content Format,Created/Cultivated/Curated,First Name (from First Name),Last Name (from First Name),Company (from First Name),Industry (from First Name),Title (from First Name),likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,Date of Post,Weekday,Day of the Week,Time of Post,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,3/23-4/23?,Thought Leadership?,Total Engagements,Post vs Engagements,Hour of Post,Month of Post,4/23-5/23
https://www.linkedin.com/in/keith-watson-b0186010/,https://www.linkedin.com/in/keith-watson-b0186010/,2024-04-24 16:45,https://www.linkedin.com/feed/update/urn:li:activity:7177347068649185280,https://media.licdn.com/dms/image/sync/D4E27AQHboyzzVJIW0A/articleshare-shrink_800/0/1711137633630?e=1714582800&v=beta&t=a5J4hS8RcOKi4jIJM1Esc8CJr6VElopDKHBofvUWoOY,Article,"In a recent Bloomberg article discussing the proposed acquisition of US Steel by Nippon Steel Corp., Josh Spoores, CRU's Principal Steel Analyst, provided insights into the industry sentiment amid the ongoing political scrutiny. As opposition intensifies in Washington, insiders within the steel industry voice their support for the deal. Josh highlighted the potential negotiation leverage of the union, stating:In terms of the union, it's probably right they can get a pound of flesh and some promise for investment in their union jobs.Read the full article here: https://lnkd.in/g3WnHkQp#SteelIndustry #UnitedStates #NipponSteel",Transactions 2,,news article,,Keith,Watson,United States Steel Corporation,Consumer & Industrial Products,Vice President - Advanced Manufacturing Technology and Capital Projects,15,0,0,1mo,,,https://www.bloomberg.com/news/articles/2024-02-03/american-steel-buyers-welcome-nippon-deal-that-scares-washington?embedded-checkout=true,Keith Watson likes this,Likes,,2024-03-23 16:54,3/23/2024,Saturday,Saturday,4:54 PM,,,,,,,,,checked,,15,Engagement,4pm-5pm,March 2024,
https://www.linkedin.com/in/neelchopdekar/,https://www.linkedin.com/in/neelchopdekar/,2024-04-24 17:02,https://www.linkedin.com/feed/update/urn:li:activity:7178086387248758786,https://media.licdn.com/dms/image/sync/D4E10AQGlKrQZEFTIUw/image-shrink_1280/0/1711366196028?e=1714586400&v=beta&t=5mJOwphwEgpKqIz-BZ3ZFlrnCvi9iHg-4uxGBuYPx2s,Article,"I'm excited to announce that we have entered into a definitive agreement to acquire CWT, a global business travel and meetings provider. This is another milestone on our journey to becoming the leading software and services company for travel and expense.  Bringing CWT onto the proven American Express Global Business Travel software and services model would create more choice for customers, more opportunities for colleagues and more value for shareholders. Read more: https://lnkd.in/erpmeQbq",Transactions 2,,article/blog/company website/press release,,Neel,Chopdekar,Cigna,Healthcare Payers,COO Technology,1283,78,108,1mo,,,https://www.amexglobalbusinesstravel.com/press-room/amex-gbt-to-acquire-cwt/,Neel Chopdekar likes this,Likes,,2024-03-25 17:52,3/25/2024,Monday,Monday,5:52 PM,,,,,,,,,checked,,1469,Engagement,5pm-6pm,March 2024,
https://www.linkedin.com/in/andrew-kaplan-0576815/,https://www.linkedin.com/in/andrew-kaplan-0576815/,2024-04-24 14:56,https://www.linkedin.com/feed/update/urn:li:activity:7178448318572769282,https://media.licdn.com/dms/image/D5622AQGI5dh5gazAXQ/feedshare-shrink_800/0/1711465006216?e=1717027200&v=beta&t=xPyC_mgLNK7LhsnFJqDZwBG3_pDxcgvAj97HZ6Mffy8,Image,"Chime likely to IPO in 2025 and has more primary bank accounts than chase.  It seems like Ron Shevlin started a sh*t storm. Here's my take Chime are planning a 2025 IPO, according to Bloomberg. With 38m customers, Chime may have more primary users than Bank of America. Ron Shevlin says about half consider Chime to be their primary checking account, which would put them between PayPal and Wells Fargo in market share.My take§  Chime has disrupted the market. An IPO in 2025 would be a crowning moment for them. Their demographic today skews lower income, which is harder to make a profit from, despite their low-cost operating model. The path to profitability is likely via going up market and/or cross-selling.§  Chime will cross-sell successfully, but I'm not sure its brand can go upmarket. Nobody has quite nailed that premium millennial Fintech consumer experience high ground Monzo and Starling took in the UK. The UK digital banks' first cohorts are aging into being high deposit balance customers. Chime's wedge in get paid early and credit building just doesn't feel aspirational. That's not a knock; the market needs what it does desperately. It's just a brand question.§  Primary checking account is such a BS term. Chase defines it as anyone with over $500 monthly deposits plus 5x transactions. But that could also mean it's a paycheck motel. Money comes in and goes out. Primary used to mean the top of the wallet and first in line to cross-sell. Today it just means collecting a good chunk of consumer deposit balances ·™‚¸§  Does Chime ever want to be a bank? When they IPO they'll have that sweet tech company multiple. Banks get valued very differently. But I think the trick is to be a growth stock. You can do that with a balance sheet. It's working for Nubank, it's sort of working for SoFi (which, arguably, it shouldn't), and it will work for Monzo. If I were advising them, I'd stay away from the charter for ~3 to 5 years until they figure out lending, and then buy a charter to improve economics further down the line.You'll find this and much more by heading to sytaylor.substack .com and hitting subscribe#fintech #ipo #neobanks","Transactions 1,Data and Analytics",,"infographic,survey/study/report",,Andrew,Kaplan,Flagstar Bank,Banking,"EVP, Chief Digital & Banking as a Service Officer",150,24,0,1mo,,,,Andrew Kaplan liked Ron Shevlinâ€™s comment on this,Liked a comment,,2024-03-26 17:50,3/26/2024,Tuesday,Tuesday,5:50 PM,,,,,,,,,checked,checked,174,Engagement,5pm-6pm,March 2024,
https://www.linkedin.com/in/tonybender/,https://www.linkedin.com/in/tonybender/,2024-04-24 16:06,https://www.linkedin.com/feed/update/urn:li:activity:7178528273688137728,https://media.licdn.com/dms/image/D4E22AQH11tnWHKHf6A/feedshare-shrink_800/0/1711466593937?e=1717027200&v=beta&t=Yfc4GMMYPNQ6BUdR1ZG_wh9cAM75iABpN2C-Kg6ts_8,Image,"All the ingredients for a successful partnership  Reflecting on our 10-year journey, hear from Managing Director Jeff Case on how we set out with Sovos Brands to fill a void in the food investment space - and how an important pivot in strategy enabled us to create a thriving portfolio of disruptive food brands. Find out more about Sovos' origin story and growth in PE Hub: https://lnkd.in/et9nwFM7",Transactions 2,,company branded asset,,Tony,Bender,Culligan,Consumer & Industrial Products,Global CIO,210,4,0,1mo,,,,Tony Bender celebrates this,Reaction,,2024-03-26 23:08,3/26/2024,Tuesday,Tuesday,11:08 PM,,,,,,,,,checked,,214,Engagement,11pm-12am,March 2024,
https://www.linkedin.com/in/neelchopdekar/,https://www.linkedin.com/in/neelchopdekar/,2024-04-24 17:02,https://www.linkedin.com/feed/update/urn:li:activity:7178488579470372865,https://media.licdn.com/dms/image/sync/D4E27AQFkjkrvtGnL8A/articleshare-shrink_480/0/1711851434385?e=1714586400&v=beta&t=UHT96lmmtp2xoMUZyHa3Z4DHgbdta51sDtXwFih2ECc,Article,"I'm excited to share that Triton Digital has acquired Sounder. This significant step forward for us is also a moment of reflection on our journey with our partners, customers, investors, advisors, and, most importantly, our employees. Your unwavering support has been crucial in reaching this milestone.Why is this acquisition important? For Sounder, it allows us to leverage Triton Digital's robust platform and resources to enhance our technology offerings. For the podcasting industry, it strengthens the ecosystem, providing creators and publishers with improved tools and services.Thank you to our friends at Triton Digital as well. We're excited to have this opportunity to grow together! As we transition into the Triton Digital family, our team will remain together, ensuring the continuity and integrity of our work. I'll guide our team, partners, and technology through this process, aiming for a seamless integration into Triton's operations.After that, I'm stepping away from Sounder's day-to-day. My engagement with the audio space will continue, primarily through #investing in and supporting #innovative audio companies. If you're navigating this space and looking for investment or support, please message me; I'm happy to connect.A special thank you to my co-founders, Dan Daugherty and Goran Krgovic, and our entire team. The journey here has been anything but simple. Yet, the commitment, resilience, and hard work of everyone involved have brought us to this point. Starting and growing a company in these complex times has been a profound learning experience, underscored by the ever-evolving investment and economic landscape. With the podcasting industry on a growth trajectory, I'm keen to see how Sounder's integration with Triton will unfold, contributing positively to the industry's expansion.To everyone who has walked this path with us, your role in Sounder's story has been invaluable. Here's to moving forwardFor those of you at PME, Brittany Kandybowicz and I will be with the Triton team to answer questions and discuss our transition plans. Hit us up.You can also read more here: https://lnkd.in/gBUjHQNq#Sounder #TritonDigital #Podcasting #Teamwork",Transactions 2,,news article,,Neel,Chopdekar,Cigna,Healthcare Payers,COO Technology,652,177,14,1mo,,,https://finance.yahoo.com/news/triton-digital-acquires-sounder-enhancing-130000008.html,Neel Chopdekar likes this,Likes,,2024-03-26 20:30,3/26/2024,Tuesday,Tuesday,8:30 PM,,,,,,,,,checked,,843,Engagement,8pm-9pm,March 2024,
https://www.linkedin.com/in/drew-bernstein-0605a01b/,https://www.linkedin.com/in/drew-bernstein-0605a01b/,2024-04-24 17:58,https://www.linkedin.com/feed/update/urn:li:activity:7178410350684311553,https://media.licdn.com/dms/image/sync/D5627AQELEGHFrRDgAA/articleshare-shrink_800/0/1711399889034?e=1714586400&v=beta&t=fK5aVNrBOrLQCT7n0T1vpUcy7UUzrOJJI9_WIQDiYn8,Article,"An inside look at how LLR and our resident expert Drew Bernstein think about RevOps: why strong RevOps is essential for accelerating business growth; the must-have skills for RevOps leaders in PE-backed companies, advice for hiring this role for the first time, and how to strike an effective, value creation partnership between the PE fund and portfolio company. Thanks to RevSearch's Adam Hoar and David Quartemont for sharing our approach and Drew's great insights! https://lnkd.in/g-Q3ymYa#revops #valuecreation #operations #revenue #podcast",Transactions 1,,article/blog/company website/press release,,Drew,Bernstein,LLR Partners,Private Equity,"Director, Revenue Operations",68,1,2,1mo,,,https://www.revsearch.io/blog/skills-for-revops-leaders-in-pe,Drew Bernstein likes this,Likes,,2024-03-26 15:19,3/26/2024,Tuesday,Tuesday,3:19 PM,,,,,,,,,checked,,71,Engagement,3pm-4pm,March 2024,
https://www.linkedin.com/in/andrew-kaplan-0576815/,https://www.linkedin.com/in/andrew-kaplan-0576815/,2024-04-24 14:56,https://www.linkedin.com/feed/update/urn:li:activity:7178901831866068992,https://media.licdn.com/dms/image/D5622AQHSx_Kxk5xxqA/feedshare-shrink_800/0/1711567155365?e=1717027200&v=beta&t=EYQcxj0D7MNw3-uo84njDAKoZTCrbrHBuOZWZqExI5g,Image,"Robinhood is a lending company. Fintech VCs need to stop saying they won't invest in lending companies. Robinhood is $18 billion mkt cap and their revenue growth is coming from...lending.  This isn't just about the new credit card. Robinhood Gold drives most of their revenue growth and Gold monetizes primarily thru lending. They already have margin lending, which is INCREASING 40% yoy.  Their non-lending trading revenue is DECREASING. Their new credit card will monetize not on interchange (giving 3% cash back means no net interchange revenue). So how will the credit card monetize? lending.  net interest income on revolvers (ppl who carry a balance)It's not that surprising. their average AUM is <$5k client. it's hard to monetize on those users in a repeatable way other than lending (having them day trade options works ok, but not everyone will do that). Lending at Robinhood could be as big as rest of their business combined.If you invest in fintech, your best companies will one day monetize thru lending even if they don't start there, because lending is one of the most important monetization levers in financial services.","Data and Analytics,Transactions 1",,"infographic,survey/study/report,company branded asset",,Andrew,Kaplan,Flagstar Bank,Banking,"EVP, Chief Digital & Banking as a Service Officer",403,36,6,3w,,,,Andrew Kaplan liked Tony DeSanctisâ€™ comment on this,Liked a comment,,2024-03-27 23:52,3/27/2024,Wednesday,Wednesday,11:52 PM,,,,,,,,,checked,checked,445,Engagement,11pm-12am,March 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7178807635146600448,https://media.licdn.com/dms/image/D5622AQG-MPPith8oBA/feedshare-shrink_800/0/1711551852705?e=1717027200&v=beta&t=1WEWf5sDb9loCy5mnMwx0BH3_g1iQHMJBObu7UsOMqU,Image,Excited to share our newest portfolio investment - Cloverleaf. It's been great to watch Darrin Murriner and Kirsten Moorefield grow the business and attract  investors from outside our region!,Transactions 1,,infographic,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",60,1,1,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7178768788333498370/,Murat Genc celebrates this,Reaction,,2024-03-27 17:38,3/27/2024,Wednesday,Wednesday,5:38 PM,,,,,,,,,checked,,62,Engagement,5pm-6pm,March 2024,
https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,2024-04-24 15:20,https://www.linkedin.com/feed/update/urn:li:activity:7179548970686259201,https://media.licdn.com/dms/image/sync/D4E10AQG4qaMul237eA/image-shrink_800/0/1711720802025?e=1714579200&v=beta&t=aPmT32iLwRJ4U8TzbJwagQoZTIMXzDtYltAP0I4eetk,Article,"In this article from Barron's, Head of Morgan Stanley Wealth Management Jed Finn lays out the plan for turning Morgan Stanley's $6.6 trillion of assets under management into $10 trillion. https://mgstn.ly/3xhsJd1","Organizational Change Management,Transactions 1",,news article,,Jeff,McMillan,Morgan Stanley,Banking,Head of AI,502,6,31,3w,,,https://mgstn.ly/3xhsJd1,Jeff McMillan likes this,Likes,,2024-03-29 18:44,3/29/2024,Friday,Friday,6:44 PM,,,,,,,,,checked,,539,Engagement,6pm-7pm,March 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7179657988431892480,https://media.licdn.com/dms/image/sync/D5627AQHiIHJZmtJxlA/articleshare-shrink_800/0/1711742445740?e=1714582800&v=beta&t=wUw3Kjlt3c5SJE1RcEbz0cft4VhLYjAwRhAAip50JX8,Article,"“¢ It's official!! We are now Notable Capital˜ We chose the name Notable for the founders we invest with, the ideas they pursue, the causes they champion, and the remarkable companies they build. Find us at https://notablecap.com/","Transactions 2,Transactions 1",,article/blog/company website/press release,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",637,73,2,3w,,,https://notablecap.com/,Murat Genc celebrates this,Reaction,,2024-03-30 01:57,3/30/2024,Saturday,Saturday,1:57 AM,,,,,,,,,checked,,712,Engagement,1am-2am,March 2024,
